STATE,STATENAME,ST_CASE,VEH_NO,MOD_YEAR,MOD_YEARNAME,VPICBODYCLASSNAME,MAKENAME,BODY_TYP,BODY_TYPNAME,ROLLOVER,ROLLOVERNAME,FIRE_EXP,FIRE_EXPNAME,DEATHS,DR_DRINK,DR_DRINKNAME,SPEEDREL,SPEEDRELNAME,VSPD_LIM,VSPD_LIMNAME,VSURCOND,VSURCONDNAME
1,Alabama,10066,1,1999,1999,Truck-Tractor,Kenworth,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10066,2,2016,2016,Sedan/Saloon,Nissan/Datsun,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,8,No Driver Present/Unknown if Driver Present,55,55 MPH,1,Dry
1,Alabama,10067,1,2007,2007,Sedan/Saloon,Ford,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,1,Yes,3,"Yes, Exceeded Speed Limit",55,55 MPH,1,Dry
1,Alabama,10068,1,2011,2011,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Toyota,5,5-door/4-door hatchback,3,Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,2,Wet
1,Alabama,10069,1,2003,2003,Motorcycle - Touring / Sport Touring,Harley-Davidson,80,Two Wheel Motorcycle (excluding motor scooters),8,Not Applicable,0,No or Not Reported,1,0,No,4,"Yes, Too Fast for Conditions",45,45 MPH,2,Wet
1,Alabama,10070,1,2018,2018,Sedan/Saloon,Toyota,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,45,45 MPH,2,Wet
1,Alabama,10071,1,1992,1992,Pickup,GMC,34,Light Pickup,0,No Rollover,0,No or Not Reported,1,0,No,4,"Yes, Too Fast for Conditions",45,45 MPH,2,Wet
1,Alabama,10072,1,2003,2003,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),GMC,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",3,Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10073,1,2019,2019,Coupe,Ford,2,"2-door sedan,hardtop,coupe",3,Rollover,0,No or Not Reported,1,1,Yes,0,No,35,35 MPH,1,Dry
1,Alabama,10074,1,2016,2016,Sedan/Saloon,Nissan/Datsun,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10075,1,1997,1997,Sedan/Saloon,Acura,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,0,No,3,"Yes, Exceeded Speed Limit",60,60 MPH,1,Dry
